iter	Accuracy	MultiClass
583	0.50375	1.749974653
584	0.50395	1.749438368
585	0.5042027778	1.749013542
586	0.5044194444	1.748594792
587	0.5047888889	1.7480125
588	0.5050083333	1.747364236
589	0.5052166667	1.746754167
590	0.5054055556	1.746145486
591	0.5058055556	1.745684896
592	0.5060444444	1.745225
593	0.5063888889	1.744626042
594	0.5063916667	1.744100521
595	0.5065111111	1.74366059
596	0.5067416667	1.743112847
597	0.5071694444	1.742492882
598	0.5075166667	1.741948264
599	0.5077972222	1.741317708
